TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,1538767.0,1541008.0,1557992.0,1560942.0,1567125.0,1585000.0,1613033.0,1622500.0,1629508.0,1628975.0,1575350.0,1569392.0,1593433.0,1611700.0,1623267.0,1640643.0
  Civilian Employment,1387192.0,1400800.0,1434633.0,1456967.0,1479992.0,1513933.0,1547908.0,1565450.0,1581417.0,1583108.0,1436008.0,1475958.0,1542358.0,1555733.0,1559642.0,1574386.0
  Civilian Unemployment,151575.0,140200.0,123367.0,103975.0,87133.0,71092.0,65133.0,57042.0,48083.0,45867.0,139333.0,93442.0,51092.0,55975.0,63608.0,66271.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",1376283.0,1392142.0,1428850.0,1467767.0,1501742.0,1549883.0,1589983.0,1622417.0,1655358.0,1677150.0,1534592.0,1589808.0,1667683.0,1681358.0,1691392.0,1689300.0
  Total Farm,3725.0,3217.0,2800.0,2908.0,2750.0,2442.0,2442.0,2133.0,1967.0,1867.0,1867.0,1983.0,1683.0,1717.0,1667.0,1571.0
  Total Nonfarm,1372558.0,1388925.0,1426050.0,1464858.0,1498992.0,1547442.0,1587542.0,1620283.0,1653392.0,1675283.0,1532725.0,1587825.0,1666000.0,1679642.0,1689725.0,1687729.0
    Total Private,1220267.0,1239650.0,1278200.0,1316183.0,1346767.0,1391033.0,1427942.0,1460100.0,1492167.0,1512742.0,1376650.0,1432167.0,1507783.0,1519183.0,1526558.0,1521443.0
    Goods Producing,219925.0,225092.0,231825.0,237050.0,241192.0,249625.0,255575.0,262592.0,267117.0,266633.0,251725.0,252308.0,261067.0,261483.0,261117.0,255900.0
"      Mining, Logging and Construction",68842.0,70267.0,72775.0,78283.0,83025.0,91783.0,97375.0,101833.0,106350.0,106575.0,101658.0,102533.0,105642.0,104933.0,105858.0,102886.0
      Mining and Logging,400.0,400.0,425.0,450.0,500.0,400.0,342.0,483.0,500.0,450.0,358.0,383.0,325.0,300.0,400.0,400.0
      Construction,68442.0,69867.0,72350.0,77833.0,82525.0,91383.0,97033.0,101350.0,105850.0,106125.0,101300.0,102150.0,105317.0,104633.0,105458.0,102486.0
        Construction of Buildings,15592.0,15517.0,15858.0,17183.0,18783.0,20100.0,20375.0,21000.0,22183.0,22567.0,21175.0,21833.0,23275.0,23608.0,23967.0,23729.0
          Heavy and Civil Engineering Construction,7058.0,7717.0,8900.0,8808.0,8225.0,9833.0,10250.0,10592.0,9767.0,9608.0,9458.0,9483.0,9317.0,8858.0,8500.0,8171.0
        Specialty Trade Contractors,45792.0,46633.0,47592.0,51842.0,55517.0,61450.0,66408.0,69758.0,73900.0,73950.0,70667.0,70833.0,72725.0,72167.0,72992.0,70586.0
      Manufacturing,151083.0,154825.0,159050.0,158767.0,158167.0,157842.0,158200.0,160758.0,160767.0,160058.0,150067.0,149775.0,155425.0,156550.0,155258.0,153014.0
        Durable Goods,107133.0,111292.0,115142.0,115792.0,116192.0,116083.0,116158.0,117558.0,118575.0,118783.0,112350.0,111442.0,116058.0,117783.0,117275.0,115929.0
          Fabricated Metal Product Manufacturing,20792.0,21383.0,22650.0,23492.0,23633.0,23583.0,22542.0,21783.0,21850.0,21975.0,20667.0,19317.0,19408.0,20067.0,20133.0,19671.0
          Machinery Manufacturing,9083.0,9233.0,9325.0,9583.0,9342.0,9200.0,9217.0,9208.0,9392.0,8875.0,8058.0,7708.0,7525.0,7167.0,7042.0,6814.0
          Computer and Electronic Product Manufacturing,32225.0,32283.0,32483.0,31600.0,31692.0,31475.0,31767.0,33225.0,34042.0,34567.0,33133.0,32800.0,33417.0,33892.0,33550.0,33000.0
            Semiconductor and Other Electronic Component Ma,12892.0,13183.0,12592.0,12050.0,12342.0,12617.0,12483.0,12467.0,13392.0,13675.0,13000.0,12750.0,13017.0,13350.0,13533.0,13414.0
"            Navigational, Measuring, Electromedical, and Co",13658.0,12900.0,12792.0,12683.0,12808.0,12958.0,13250.0,13642.0,13508.0,13650.0,12825.0,12975.0,13500.0,13808.0,13425.0,13243.0
          Transportation Equipment Manufacturing,15167.0,15367.0,15567.0,15492.0,16033.0,16742.0,17225.0,16558.0,15708.0,15242.0,14567.0,14908.0,17275.0,18075.0,18117.0,17514.0
        Non-Durable Goods,43950.0,43533.0,43908.0,42975.0,41975.0,41758.0,42042.0,43200.0,42192.0,41275.0,37717.0,38333.0,39367.0,38767.0,37983.0,37086.0
    Service Providing,1152633.0,1163833.0,1194225.0,1227808.0,1257800.0,1297817.0,1331967.0,1357692.0,1386275.0,1408650.0,1281000.0,1335517.0,1404933.0,1418158.0,1428608.0,1431829.0
    Private Service Providing,1000342.0,1014558.0,1046375.0,1079133.0,1105575.0,1141408.0,1172367.0,1197508.0,1225050.0,1246108.0,1124925.0,1179858.0,1246717.0,1257700.0,1265442.0,1265543.0
"      Trade, Transportation, and Utilities",244158.0,246300.0,248158.0,251283.0,254908.0,258575.0,259717.0,261608.0,263242.0,261392.0,244067.0,251958.0,258317.0,262533.0,261042.0,257600.0
        Wholesale Trade,76117.0,76225.0,76183.0,78242.0,79750.0,80000.0,79892.0,80092.0,81442.0,81267.0,76817.0,77525.0,78975.0,81108.0,80817.0,79529.0
"          Merchant Wholesalers, Durable Goods",45742.0,47200.0,47083.0,47567.0,48125.0,47808.0,47542.0,47983.0,48100.0,48083.0,46067.0,46458.0,47317.0,49292.0,49350.0,48543.0
"          Merchant Wholesalers, Nondurable Goods",23125.0,22500.0,22783.0,24533.0,25675.0,26075.0,26158.0,26267.0,27433.0,27583.0,25542.0,25875.0,26317.0,26642.0,26383.0,26000.0
          Wholesale Trade Agents and Brokers,7250.0,6525.0,6317.0,6142.0,5950.0,6117.0,6192.0,5842.0,5908.0,5600.0,5208.0,5192.0,5342.0,5175.0,5083.0,4986.0
        Retail Trade,141333.0,142608.0,143958.0,145575.0,148642.0,151642.0,152592.0,153517.0,152642.0,150642.0,137642.0,143375.0,145525.0,145775.0,144808.0,142829.0
          Motor Vehicle and Parts Dealers,15442.0,15817.0,16333.0,16625.0,17508.0,18400.0,18950.0,19317.0,19250.0,19058.0,16858.0,17058.0,17225.0,17592.0,17375.0,17171.0
          Building Material and Garden Equipment and Suppli,9292.0,9233.0,9592.0,9692.0,9908.0,10325.0,10692.0,11000.0,11267.0,10942.0,11458.0,11850.0,11525.0,10808.0,10408.0,10171.0
          Food and Beverage Retailers,27267.0,27125.0,27933.0,28675.0,29867.0,30450.0,30283.0,30592.0,30225.0,29933.0,30175.0,29883.0,29875.0,30992.0,31058.0,30914.0
            Grocery and Convenience Retailers,24200.0,23958.0,24725.0,25467.0,26750.0,27142.0,27075.0,27417.0,27150.0,26942.0,27433.0,26742.0,26850.0,28000.0,28075.0,28171.0
          General Merchandise Retailers,26050.0,26467.0,27858.0,28750.0,28742.0,29675.0,29592.0,29017.0,28950.0,28667.0,25808.0,27275.0,27725.0,27433.0,27375.0,26643.0
          Health and Personal Care Retailers,10525.0,10508.0,10500.0,10692.0,10708.0,10958.0,11908.0,12158.0,12250.0,12225.0,11425.0,12733.0,13808.0,14367.0,14158.0,13771.0
"          Clothing, Clothing Accessories, Shoe, and Jewelry",17233.0,17500.0,17358.0,17067.0,16792.0,16683.0,16567.0,16558.0,16400.0,15875.0,11583.0,13442.0,14583.0,14842.0,15158.0,14786.0
"          Sporting Goods, Hobby, Musical Instrument, Book, ",16183.0,15542.0,15542.0,15875.0,16150.0,15808.0,15275.0,15133.0,14767.0,14492.0,12425.0,14533.0,15075.0,14583.0,14308.0,13886.0
"        Transportation, Warehousing, and Utilities",26708.0,27467.0,28017.0,27467.0,26517.0,26933.0,27233.0,28000.0,29158.0,29483.0,29608.0,31058.0,33817.0,35650.0,35417.0,35243.0
           Transportation and Warehousing,22758.0,23575.0,23992.0,23792.0,23233.0,23650.0,24150.0,24992.0,26175.0,26600.0,26683.0,28100.0,30758.0,32308.0,31983.0,31929.0
            Couriers and Messengers,5592.0,5375.0,5208.0,5075.0,5317.0,5433.0,5425.0,5650.0,5833.0,6450.0,8025.0,8983.0,9242.0,9483.0,9542.0,9414.0
            Warehousing and Storage,5808.0,5883.0,5825.0,5117.0,4875.0,4758.0,4658.0,4958.0,5725.0,5467.0,5625.0,5650.0,6167.0,7625.0,7558.0,7314.0
      Information,21658.0,20658.0,22133.0,23208.0,23433.0,24917.0,25958.0,26767.0,26717.0,25983.0,24117.0,24042.0,24283.0,22683.0,21508.0,20714.0
          Publishing Industries,8858.0,8983.0,9117.0,9175.0,9167.0,9525.0,10208.0,10983.0,11283.0,11167.0,10742.0,10325.0,10067.0,9258.0,8700.0,8314.0
        Telecommunications,6308.0,5700.0,6642.0,6958.0,7108.0,7375.0,7133.0,7317.0,6992.0,6333.0,6275.0,5958.0,5808.0,5567.0,5142.0,4814.0
      Financial Activities,103667.0,105042.0,108617.0,113400.0,113942.0,116400.0,118033.0,119558.0,118650.0,117592.0,115875.0,117067.0,112342.0,103733.0,103142.0,101000.0
        Finance and Insurance,69458.0,71242.0,73883.0,77067.0,76375.0,78800.0,79467.0,80658.0,79258.0,77708.0,77717.0,78050.0,72200.0,63233.0,62367.0,61014.0
          Credit Intermediation and Related Activities incl,31817.0,32600.0,34983.0,38042.0,37958.0,40442.0,42617.0,43683.0,41967.0,40225.0,41408.0,42017.0,36125.0,29217.0,28908.0,28229.0
