TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,212425.0,212142.0,215392.0,216725.0,217542.0,217242.0,218133.0,217408.0,219450.0,221408.0,216058.0,215175.0,217883.0,220025.0,221333.0,224714.0
  Civilian Employment,191642.0,192258.0,197267.0,200950.0,204092.0,205717.0,207208.0,207583.0,210900.0,213267.0,198317.0,202675.0,209967.0,211142.0,211433.0,214100.0
  Civilian Unemployment,20775.0,19917.0,18125.0,15783.0,13483.0,11533.0,10975.0,9800.0,8533.0,8125.0,17758.0,12475.0,7908.0,8908.0,9883.0,10657.0
"Total, All Industries",182742.0,183700.0,188892.0,194200.0,198025.0,200692.0,201058.0,202992.0,208408.0,213500.0,200983.0,207333.0,215292.0,216142.0,217358.0,217443.0
  Total Farm,18633.0,18225.0,18792.0,19325.0,20967.0,20983.0,20900.0,21742.0,22858.0,24092.0,25167.0,27025.0,29367.0,28917.0,29842.0,30271.0
  Total Nonfarm,164108.0,165475.0,170100.0,174875.0,177058.0,179708.0,180158.0,181250.0,185550.0,189408.0,175817.0,180308.0,185925.0,187225.0,187517.0,187171.0
    Total Private,125883.0,127725.0,132367.0,137000.0,138742.0,141058.0,142100.0,142550.0,146575.0,149975.0,139300.0,145150.0,151642.0,151950.0,152008.0,150186.0
    Goods Producing,19217.0,19617.0,20075.0,20508.0,20983.0,21900.0,22500.0,22292.0,22733.0,22808.0,21425.0,21858.0,22717.0,23408.0,23333.0,22171.0
"      Mining, Logging and Construction",7958.0,7933.0,8117.0,8450.0,8683.0,8950.0,9058.0,9167.0,9867.0,9908.0,9500.0,9850.0,10333.0,10583.0,10833.0,10414.0
      Mining and Logging,975.0,1133.0,1275.0,1225.0,1267.0,1133.0,883.0,850.0,1033.0,1025.0,700.0,600.0,592.0,600.0,583.0,500.0
      Construction,6983.0,6800.0,6842.0,7225.0,7417.0,7817.0,8175.0,8317.0,8833.0,8883.0,8800.0,9250.0,9742.0,9983.0,10250.0,9914.0
      Manufacturing,11258.0,11683.0,11958.0,12058.0,12300.0,12950.0,13442.0,13125.0,12867.0,12900.0,11925.0,12008.0,12383.0,12825.0,12500.0,11757.0
        Durable Goods,8533.0,8783.0,8800.0,8725.0,8700.0,9200.0,9433.0,9267.0,8983.0,9183.0,8508.0,8375.0,8267.0,8292.0,7800.0,7429.0
Service-Providing,144892.0,145858.0,150025.0,154367.0,156075.0,157808.0,157658.0,158958.0,162817.0,166600.0,154392.0,158450.0,163208.0,163817.0,164183.0,165000.0
    Private Service Providing,106667.0,108108.0,112292.0,116492.0,117758.0,119158.0,119600.0,120258.0,123842.0,127167.0,117875.0,123292.0,128925.0,128542.0,128675.0,128014.0
