TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,216067.0,215717.0,217208.0,215833.0,217600.0,218333.0,216758.0,217417.0,219492.0,219108.0,211950.0,209800.0,215317.0,216642.0,221192.0,228929.0
Civilian Employment,188267.0,188400.0,191975.0,193375.0,197642.0,200550.0,199800.0,201508.0,205250.0,205050.0,188083.0,192150.0,202008.0,201433.0,205125.0,210357.0
Civilian Unemployment,27783.0,27342.0,25242.0,22450.0,19950.0,17783.0,16942.0,15908.0,14225.0,14067.0,23883.0,17650.0,13308.0,15192.0,16075.0,18586.0
"Total, All Industries",169750.0,169967.0,173500.0,176617.0,181917.0,185983.0,189442.0,192300.0,197883.0,199792.0,185525.0,190825.0,201600.0,199892.0,204733.0,207400.0
Total Farm,45100.0,46275.0,48150.0,50092.0,52175.0,52958.0,53292.0,53217.0,55033.0,54825.0,53783.0,54808.0,58375.0,54400.0,56642.0,58386.0
Total Nonfarm,124650.0,123692.0,125350.0,126525.0,129742.0,133025.0,136150.0,139083.0,142850.0,144967.0,131742.0,136017.0,143225.0,145492.0,148092.0,149014.0
Total Private,92025.0,92017.0,94058.0,96300.0,99192.0,101933.0,104233.0,105792.0,108375.0,110242.0,97925.0,102442.0,108792.0,110308.0,111775.0,112429.0
Goods Producing,9883.0,9575.0,9533.0,9908.0,10350.0,10958.0,11333.0,11650.0,11892.0,11967.0,11025.0,11542.0,12183.0,12417.0,12525.0,12386.0
"Mining, Logging, and Construction",4325.0,4033.0,4317.0,4700.0,5075.0,5542.0,6050.0,6208.0,6658.0,6817.0,6467.0,6675.0,7125.0,7392.0,7750.0,7571.0
Mining and Logging,200.0,200.0,200.0,200.0,200.0,300.0,233.0,208.0,242.0,300.0,225.0,200.0,233.0,200.0,200.0,200.0
Construction,4125.0,3833.0,4117.0,4500.0,4875.0,5242.0,5817.0,6000.0,6417.0,6517.0,6242.0,6475.0,6892.0,7192.0,7550.0,7371.0
Manufacturing,5558.0,5542.0,5217.0,5208.0,5275.0,5417.0,5283.0,5442.0,5233.0,5150.0,4558.0,4867.0,5058.0,5025.0,4775.0,4814.0
Non-Durable Goods,4242.0,4250.0,3875.0,3825.0,3833.0,3933.0,3758.0,3933.0,3658.0,3583.0,3100.0,3383.0,3600.0,3625.0,3458.0,3529.0
Service-Providing,114767.0,114117.0,115817.0,116617.0,119392.0,122067.0,124817.0,127433.0,130958.0,133000.0,120717.0,124475.0,131042.0,133075.0,135567.0,136629.0
Private Service Providing,82142.0,82442.0,84525.0,86392.0,88842.0,90975.0,92900.0,94142.0,96483.0,98275.0,86900.0,90900.0,96608.0,97892.0,99250.0,100043.0
"Trade, Transportation & Utilities",23517.0,23908.0,24783.0,25367.0,25708.0,25967.0,26067.0,26200.0,26692.0,26608.0,24592.0,24975.0,25400.0,25467.0,25533.0,25214.0
Wholesale Trade,4942.0,4900.0,5183.0,5175.0,5350.0,5275.0,5275.0,5625.0,5908.0,5775.0,5350.0,5325.0,5542.0,5817.0,5783.0,5700.0
