TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,891458.0,885092.0,889808.0,894375.0,904617.0,919667.0,918267.0,933642.0,948292.0,962517.0,972875.0,989417.0,1000100.0,1014775.0,1027775.0,1040514.0
  Civilian Employment,769758.0,771067.0,787858.0,806133.0,831317.0,860225.0,864383.0,886875.0,909108.0,925142.0,879633.0,915542.0,958092.0,967950.0,975200.0,985571.0
  Civilian Unemployment,121708.0,114025.0,101958.0,88225.0,73325.0,59450.0,53892.0,46775.0,39200.0,37392.0,93242.0,73875.0,42008.0,46850.0,52567.0,54986.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",616483.0,607542.0,626608.0,648275.0,675633.0,710050.0,727067.0,750942.0,772700.0,800958.0,775358.0,815650.0,859592.0,860892.0,,
  Total Farm,2600.0,2450.0,2425.0,2417.0,2550.0,2200.0,1850.0,2167.0,2217.0,2450.0,2275.0,2275.0,2508.0,2208.0,,
  Total Nonfarm,613883.0,605092.0,624183.0,645858.0,673083.0,707850.0,725217.0,748775.0,770483.0,798508.0,773083.0,813375.0,857083.0,858683.0,,
    Goods Producing,72217.0,72142.0,74850.0,76600.0,82325.0,88567.0,90683.0,92058.0,95133.0,95183.0,91158.0,92708.0,97000.0,96417.0,,
      Mining and Logging,600.0,642.0,792.0,867.0,992.0,983.0,575.0,575.0,767.0,742.0,883.0,1017.0,1042.0,1108.0,,
      Construction,24325.0,24967.0,26783.0,27433.0,30125.0,32733.0,33842.0,35167.0,37783.0,39042.0,38100.0,39200.0,40850.0,41658.0,,
      Manufacturing,47292.0,46533.0,47275.0,48300.0,51208.0,54850.0,56267.0,56317.0,56583.0,55400.0,52175.0,52492.0,55108.0,53650.0,,
        Durable Goods,28950.0,28367.0,29117.0,30017.0,31742.0,34542.0,35508.0,34950.0,34875.0,34567.0,31850.0,31292.0,32142.0,31775.0,,
        Nondurable Goods,18342.0,18167.0,18158.0,18283.0,19467.0,20308.0,20758.0,21367.0,21708.0,20833.0,20325.0,21200.0,22967.0,21875.0,,
    Service Providing,541667.0,532950.0,549333.0,569258.0,590758.0,619283.0,634533.0,656717.0,675350.0,703325.0,681925.0,720667.0,760083.0,762267.0,,
"      Trade, Transportation & Utilities",152983.0,153967.0,164492.0,169967.0,178542.0,187092.0,193475.0,206567.0,215983.0,224817.0,233708.0,255075.0,266950.0,259792.0,,
        Wholesale Trade,29642.0,29425.0,31550.0,34025.0,35850.0,38275.0,39075.0,38725.0,40542.0,41492.0,41125.0,41750.0,42192.0,40950.0,,
        Retail Trade,76992.0,76900.0,80958.0,82417.0,83892.0,85525.0,87367.0,88208.0,88333.0,86983.0,81800.0,85617.0,88467.0,88250.0,,
"        Transportation, Warehousing, and Utilities",46350.0,47642.0,51983.0,53525.0,58800.0,63292.0,67033.0,79633.0,87108.0,96342.0,110783.0,127708.0,136292.0,130592.0,,
      Information,3767.0,4508.0,5325.0,5250.0,4950.0,5042.0,5242.0,5175.0,5250.0,5025.0,4067.0,4400.0,7500.0,7692.0,,
      Financial Activities,21417.0,21292.0,21392.0,21825.0,22375.0,23000.0,23833.0,22383.0,21725.0,23433.0,23142.0,23742.0,23425.0,23775.0,,
        Finance & Insurance,14092.0,14258.0,14517.0,14592.0,15042.0,15333.0,15558.0,13933.0,12700.0,13642.0,13408.0,13483.0,12233.0,12492.0,,
        Real Estate & Rental & Leasing,7325.0,7033.0,6875.0,7233.0,7333.0,7667.0,8275.0,8450.0,9025.0,9792.0,9733.0,10258.0,11192.0,11283.0,,
      Professional and Business Services,73125.0,73325.0,73058.0,74375.0,77800.0,84817.0,80650.0,80317.0,80850.0,85017.0,83875.0,92142.0,95308.0,88550.0,,
"        Professional, Scientific & Technical Services",18867.0,19375.0,19575.0,20375.0,20900.0,19992.0,20133.0,20592.0,21508.0,23000.0,22425.0,24592.0,23658.0,23958.0,,
        Management of Companies & Enterprises,5483.0,5417.0,5233.0,5242.0,5150.0,5867.0,6192.0,6025.0,5800.0,5742.0,5267.0,4942.0,4833.0,5283.0,,
        Administrative and Support and Waste and Remediatio,48775.0,48533.0,48250.0,48758.0,51750.0,58958.0,54325.0,53700.0,53542.0,56275.0,56183.0,62608.0,66817.0,59308.0,,
      Private Education and Health Services,90192.0,91125.0,94667.0,102125.0,105267.0,109908.0,114092.0,119675.0,124533.0,134975.0,129083.0,129717.0,135817.0,143558.0,,
        Private Educational Services,10117.0,10192.0,9925.0,10625.0,9817.0,10100.0,10425.0,10775.0,11133.0,11717.0,10392.0,9850.0,10708.0,11733.0,,
        Health Care & Social Assistance,80075.0,80933.0,84742.0,91500.0,95450.0,99808.0,103667.0,108900.0,113400.0,123258.0,118692.0,119867.0,125108.0,131825.0,,
      Leisure and Hospitality,55108.0,55125.0,57067.0,60892.0,64283.0,68317.0,71517.0,75167.0,76917.0,78067.0,63733.0,71592.0,79750.0,82292.0,,
"         Arts, Entertainment, and Recreation",5975.0,5908.0,6092.0,6775.0,6867.0,7617.0,7917.0,8042.0,7767.0,7742.0,4950.0,5992.0,7350.0,7775.0,,
        Accommodation & Food Services,49133.0,49217.0,50975.0,54117.0,57417.0,60700.0,63600.0,67125.0,69150.0,70325.0,58783.0,65600.0,72400.0,74517.0,,
      Other Services,19925.0,20333.0,20875.0,20858.0,21458.0,22275.0,22842.0,22842.0,23000.0,22917.0,20317.0,21808.0,23042.0,23800.0,,
      Government,125150.0,113275.0,112458.0,113967.0,116083.0,118833.0,122883.0,124592.0,127092.0,129075.0,124000.0,122192.0,128292.0,132808.0,,
        Federal Government,15125.0,14233.0,13817.0,13467.0,13400.0,13400.0,13383.0,13467.0,13533.0,13842.0,14442.0,13692.0,13400.0,13617.0,,
          State Government,13375.0,13058.0,12458.0,12008.0,12225.0,12425.0,12700.0,12892.0,13117.0,13500.0,13483.0,13383.0,13233.0,13283.0,,
