TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,41631.0,40783.0,40837.0,40728.0,40344.0,39848.0,38280.0,38258.0,38143.0,37481.0,36035.0,35652.0,35892.0,36350.0,36494.0,37177.0
  Civilian Employment,36767.0,36139.0,36722.0,37288.0,37485.0,37520.0,36138.0,36417.0,36527.0,35888.0,32632.0,33276.0,34308.0,34572.0,34476.0,34991.0
  Civilian Unemployment,4865.0,4642.0,4113.0,3437.0,2862.0,2325.0,2142.0,1840.0,1618.0,1597.0,3404.0,2378.0,1586.0,1776.0,2021.0,2186.0
Total Wage and Salary,30453.0,29969.0,30543.0,31444.0,31760.0,32016.0,32435.0,32949.0,33290.0,33101.0,30425.0,31169.0,32428.0,32730.0,32708.0,32874.0
  Total Farm,1598.0,1505.0,1530.0,1501.0,1527.0,1400.0,1364.0,1378.0,1445.0,1462.0,1449.0,1662.0,1781.0,1694.0,1607.0,1671.0
  Total Nonfarm,28856.0,28464.0,29013.0,29943.0,30233.0,30616.0,31071.0,31571.0,31845.0,31638.0,28976.0,29507.0,30647.0,31036.0,31102.0,31203.0
    Total Private,21560.0,21414.0,22081.0,22938.0,23205.0,23477.0,23834.0,24333.0,24681.0,24463.0,22388.0,23136.0,23883.0,24020.0,23893.0,23709.0
    Goods Producing,3379.0,3409.0,3588.0,3681.0,3800.0,3856.0,3909.0,4086.0,4158.0,4121.0,3908.0,4032.0,4237.0,4215.0,4062.0,3944.0
"      Mining, Logging and Construction",1190.0,1176.0,1260.0,1265.0,1315.0,1342.0,1366.0,1544.0,1688.0,1688.0,1603.0,1630.0,1672.0,1702.0,1791.0,1777.0
      Mining and Logging,251.0,249.0,302.0,312.0,328.0,304.0,302.0,328.0,312.0,294.0,277.0,280.0,282.0,272.0,298.0,279.0
      Construction,939.0,927.0,958.0,953.0,987.0,1038.0,1064.0,1217.0,1377.0,1393.0,1327.0,1350.0,1391.0,1430.0,1492.0,1499.0
      Manufacturing,2189.0,2233.0,2328.0,2416.0,2485.0,2514.0,2548.0,2542.0,2471.0,2432.0,2307.0,2402.0,2568.0,2511.0,2272.0,2169.0
        Durable Goods,945.0,974.0,982.0,1065.0,1084.0,1143.0,1178.0,1159.0,1140.0,1085.0,999.0,1054.0,1238.0,1196.0,1065.0,1026.0
        Non-Durable Goods,1244.0,1259.0,1345.0,1351.0,1401.0,1371.0,1370.0,1385.0,1332.0,1348.0,1308.0,1348.0,1330.0,1318.0,1206.0,1149.0
Service-Providing,25477.0,25055.0,25426.0,26262.0,26433.0,26760.0,27162.0,27485.0,27688.0,27517.0,25070.0,25478.0,26409.0,26822.0,27043.0,27260.0
    Private Service Providing,18181.0,18005.0,18493.0,19257.0,19405.0,19621.0,19926.0,20248.0,20523.0,20344.0,18484.0,19105.0,19647.0,19807.0,19832.0,19766.0
"      Trade, Transportation, and Utilities",5618.0,5582.0,5683.0,5803.0,5858.0,6066.0,6182.0,6309.0,6355.0,6265.0,6022.0,6262.0,6081.0,5908.0,5615.0,5391.0
        Wholesale Trade,666.0,693.0,719.0,811.0,830.0,728.0,743.0,843.0,808.0,738.0,700.0,752.0,744.0,721.0,620.0,584.0
        Retail Trade,4380.0,4312.0,4355.0,4347.0,4382.0,4645.0,4729.0,4756.0,4820.0,4808.0,4485.0,4662.0,4542.0,4403.0,4154.0,3961.0
