TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,173500.0,173100.0,174450.0,175350.0,175283.0,176425.0,178625.0,180875.0,184667.0,187717.0,185658.0,189958.0,195200.0,201742.0,204758.0,207871.0
  Civilian Employment,153208.0,154300.0,158042.0,161667.0,164158.0,167458.0,170525.0,173792.0,178717.0,181775.0,171750.0,180242.0,189092.0,194383.0,196325.0,199071.0
  Civilian Unemployment,20292.0,18817.0,16425.0,13667.0,11133.0,8950.0,8108.0,7050.0,5958.0,5942.0,13892.0,9733.0,6125.0,7367.0,8417.0,8800.0
"Total, All Industries",127350.0,128450.0,133675.0,141442.0,146400.0,152267.0,159983.0,164850.0,171783.0,175817.0,165308.0,176400.0,184908.0,188592.0,,
  Total Farm,342.0,350.0,333.0,417.0,325.0,300.0,292.0,317.0,375.0,383.0,383.0,333.0,342.0,367.0,,
  Total Nonfarm,127008.0,128100.0,133342.0,141025.0,146075.0,151967.0,159692.0,164533.0,171408.0,175433.0,164925.0,176067.0,184567.0,188225.0,,
    Goods Producing,15092.0,14708.0,14892.0,15992.0,16792.0,18783.0,20608.0,20692.0,21783.0,23033.0,22950.0,24858.0,26817.0,26250.0,,
      Mining and Logging,100.0,0.0,0.0,0.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,167.0,192.0,200.0,,
      Construction,8375.0,8117.0,8633.0,9833.0,10533.0,12183.0,13892.0,14758.0,16075.0,17267.0,17483.0,18783.0,19675.0,18867.0,,
      Manufacturing,6617.0,6592.0,6258.0,6158.0,6183.0,6500.0,6617.0,5800.0,5617.0,5658.0,5367.0,5908.0,6992.0,7100.0,,
        Durable Goods,5967.0,5950.0,5558.0,5458.0,5417.0,5467.0,5592.0,4758.0,4400.0,4342.0,4050.0,4475.0,5400.0,5475.0,,
        Nondurable Goods,650.0,642.0,700.0,700.0,767.0,1033.0,1017.0,1042.0,1217.0,1317.0,1317.0,1433.0,1592.0,1608.0,,
    Service Providing,111917.0,113392.0,118450.0,125033.0,129283.0,133183.0,139083.0,143842.0,149625.0,152400.0,141975.0,151208.0,157750.0,161975.0,,
"      Trade, Transportation & Utilities",25925.0,26242.0,27542.0,28642.0,29608.0,29767.0,30258.0,30475.0,31758.0,32333.0,30808.0,32208.0,31842.0,31650.0,,
        Wholesale Trade,3708.0,3667.0,4117.0,4058.0,3967.0,4200.0,4158.0,4333.0,4700.0,5208.0,4667.0,4533.0,4417.0,4375.0,,
        Retail Trade,19250.0,19792.0,20533.0,21475.0,22417.0,22158.0,22400.0,22608.0,23258.0,22842.0,21717.0,22933.0,22675.0,22450.0,,
"        Transportation, Warehousing, and Utilities",2967.0,2783.0,2892.0,3108.0,3225.0,3408.0,3700.0,3533.0,3800.0,4283.0,4425.0,4742.0,4750.0,4825.0,,
      Information,2458.0,2333.0,2300.0,2208.0,2200.0,2558.0,2517.0,2367.0,2442.0,2433.0,1983.0,1883.0,1933.0,1967.0,,
      Financial Activities,9675.0,9717.0,10317.0,11158.0,11300.0,11517.0,12158.0,12275.0,13458.0,13108.0,12642.0,13025.0,13267.0,12858.0,,
        Finance & Insurance,7017.0,7167.0,7675.0,8258.0,8225.0,8333.0,8683.0,8558.0,8525.0,7808.0,7592.0,7367.0,7033.0,6575.0,,
        Real Estate & Rental & Leasing,2658.0,2550.0,2642.0,2900.0,3075.0,3183.0,3475.0,3725.0,4958.0,5300.0,5050.0,5658.0,6233.0,6283.0,,
      Professional and Business Services,12992.0,13300.0,13942.0,15267.0,16775.0,18575.0,19792.0,20592.0,22225.0,22792.0,22192.0,23967.0,24550.0,24258.0,,
"        Professional, Scientific & Technical Services",6483.0,6725.0,7025.0,7400.0,7592.0,7867.0,8542.0,8708.0,9158.0,9658.0,9208.0,10092.0,10708.0,10700.0,,
        Management of Companies & Enterprises,1158.0,1217.0,1300.0,1450.0,1550.0,1575.0,1533.0,1767.0,1775.0,1958.0,1925.0,2000.0,1917.0,2442.0,,
        Administrative and Support and Waste and Remediatio,5350.0,5358.0,5617.0,6417.0,7633.0,9133.0,9717.0,10100.0,11292.0,11200.0,11058.0,11842.0,11917.0,11125.0,,
      Private Education and Health Services,19308.0,20375.0,21583.0,22992.0,24133.0,24650.0,26208.0,28075.0,28792.0,29983.0,29375.0,30800.0,32583.0,35808.0,,
      Leisure and Hospitality,18133.0,18467.0,19000.0,20233.0,20342.0,20458.0,22075.0,23233.0,23675.0,24192.0,19400.0,22300.0,25808.0,26625.0,,
"         Arts, Entertainment, and Recreation",3508.0,3608.0,4050.0,4325.0,4092.0,4058.0,4417.0,4792.0,4842.0,5125.0,3842.0,4833.0,6283.0,6700.0,,
        Accommodation & Food Services,14625.0,14858.0,14950.0,15908.0,16250.0,16400.0,17658.0,18450.0,18817.0,19067.0,15558.0,17467.0,19525.0,19925.0,,
      Other Services,4483.0,4742.0,5083.0,5517.0,5733.0,5950.0,5883.0,6433.0,6667.0,6967.0,6033.0,7167.0,7508.0,8025.0,,
      Government,18942.0,18217.0,18683.0,19017.0,19192.0,19708.0,20192.0,20392.0,20608.0,20592.0,19542.0,19858.0,20258.0,20783.0,,
