TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,46067.0,45775.0,45458.0,44700.0,44283.0,44750.0,44008.0,44125.0,43958.0,44617.0,44617.0,44083.0,44425.0,44917.0,45750.0,46943.0
  Civilian Employment,37525.0,37433.0,37783.0,38108.0,38617.0,39933.0,39617.0,40150.0,40517.0,41225.0,39442.0,40000.0,41317.0,41275.0,41825.0,42629.0
  Civilian Unemployment,8533.0,8325.0,7658.0,6600.0,5650.0,4800.0,4392.0,3958.0,3442.0,3417.0,5167.0,4092.0,3100.0,3625.0,3933.0,4329.0
"Total, All Industries",27150.0,26758.0,26833.0,27533.0,28167.0,29408.0,30825.0,31025.0,31708.0,32658.0,31558.0,32700.0,34150.0,34550.0,,
  Total Farm,3675.0,3708.0,3683.0,3683.0,3658.0,4025.0,4542.0,4433.0,4717.0,4533.0,4217.0,4008.0,3975.0,4050.0,,
  Total Nonfarm,23475.0,23050.0,23150.0,23850.0,24508.0,25383.0,26283.0,26592.0,26992.0,28125.0,27342.0,28692.0,30175.0,30500.0,,
    Goods Producing,2558.0,2492.0,2350.0,2492.0,2525.0,2792.0,2975.0,2858.0,2942.0,3117.0,3042.0,3100.0,3225.0,3192.0,,
"     Mining, Logging and Construction",1042.0,925.0,800.0,942.0,1033.0,1292.0,1492.0,1383.0,1442.0,1617.0,1617.0,1617.0,1733.0,1658.0,,
      Manufacturing,1517.0,1567.0,1550.0,1550.0,1492.0,1500.0,1483.0,1475.0,1500.0,1500.0,1425.0,1483.0,1492.0,1533.0,,
    Service Providing,20917.0,20558.0,20800.0,21358.0,21983.0,22592.0,23308.0,23733.0,24050.0,25008.0,24300.0,25592.0,26950.0,27308.0,,
"      Trade, Transportation & Utilities",5750.0,5933.0,6008.0,5892.0,6058.0,6308.0,6733.0,6792.0,6850.0,7208.0,7333.0,7783.0,8033.0,8300.0,,
        Wholesale Trade,875.0,1000.0,1100.0,1000.0,1092.0,1167.0,1242.0,1292.0,1400.0,1308.0,1225.0,1225.0,1292.0,1300.0,,
        Retail Trade,4217.0,4208.0,4217.0,4233.0,4200.0,4283.0,4558.0,4492.0,4517.0,4492.0,4333.0,4608.0,4642.0,4625.0,,
"        Transportation, Warehousing, and Utilities",658.0,725.0,692.0,658.0,767.0,858.0,933.0,1008.0,933.0,1408.0,1775.0,1950.0,2100.0,2375.0,,
      Information,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,167.0,200.0,125.0,100.0,108.0,100.0,,
      Financial Activities,1092.0,1008.0,1058.0,1050.0,1100.0,1117.0,1150.0,1125.0,1167.0,1158.0,1117.0,1100.0,1167.0,1000.0,,
      Professional and Business Services,1783.0,1625.0,1842.0,1983.0,2075.0,2133.0,2142.0,2175.0,2117.0,2217.0,2342.0,2250.0,2225.0,2150.0,,
      Private Education and Health Services,4092.0,3933.0,3908.0,4250.0,4242.0,4433.0,4725.0,4675.0,4867.0,5100.0,5067.0,5283.0,5467.0,5592.0,,
      Leisure and Hospitality,2550.0,2708.0,2767.0,2875.0,2950.0,2917.0,2675.0,2925.0,3025.0,3258.0,2792.0,3167.0,3508.0,3458.0,,
      Other Services,717.0,675.0,642.0,700.0,725.0,717.0,750.0,758.0,767.0,750.0,692.0,767.0,808.0,808.0,,
      Government,4733.0,4475.0,4375.0,4408.0,4633.0,4767.0,4933.0,5083.0,5092.0,5117.0,4833.0,5142.0,5633.0,5900.0,,
        Federal Government,208.0,175.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,108.0,100.0,,
          State Government,125.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
          Local Government,4400.0,4200.0,4175.0,4208.0,4433.0,4567.0,4733.0,4883.0,4892.0,4917.0,4633.0,4942.0,5425.0,5700.0,,
Civilian Labor Force per mil,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
  Civilian Employment per mil,814574.4242082185,817760.7864554888,831162.8316247965,852527.9642058165,872050.2224329878,892357.5418994414,900222.686784221,909915.014164306,921720.7334273625,923975.1664163884,884012.8202254745,907379.2618469705,930039.3922341024,918917.1137876527,914207.650273224,908101.3143599684
  Civilian Unemployment per mil,185230.20817504937,181867.83178590934,168463.1967970434,147651.0067114094,127588.46509947383,107262.56983240224,99800.036357026,89699.71671388102,78302.01556030757,76585.15812358518,115807.87592173388,92824.89848694508,69780.52898142938,80704.41035688047,85967.2131147541,92218.22209914152
