TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,113800.0,114300.0,114725.0,114392.0,114300.0,114075.0,113883.0,114792.0,114767.0,116100.0,115675.0,114800.0,115417.0,118892.0,120567.0,124457.0
Civilian Employment,93175.0,94133.0,95917.0,97658.0,99450.0,101100.0,101742.0,103942.0,105075.0,106642.0,101275.0,102917.0,106367.0,108175.0,108750.0,111186.0
Civilian Unemployment,20633.0,20183.0,18800.0,16742.0,14833.0,12992.0,12133.0,10858.0,9675.0,9450.0,14408.0,11875.0,9058.0,10733.0,11808.0,13271.0
"Total, All Industries",69183.0,70083.0,71767.0,74050.0,75933.0,77683.0,79342.0,81725.0,83258.0,85033.0,81783.0,83392.0,86025.0,87242.0,88000.0,88729.0
Total Farm,11025.0,11750.0,12875.0,13842.0,14050.0,14392.0,14533.0,14642.0,14625.0,14283.0,14208.0,14517.0,14175.0,13692.0,13967.0,13586.0
Total Nonfarm,58158.0,58333.0,58892.0,60208.0,61883.0,63292.0,64808.0,67083.0,68633.0,70750.0,67575.0,68875.0,71850.0,73550.0,74033.0,75143.0
Total Private,41458.0,41883.0,42467.0,43633.0,44792.0,45625.0,46358.0,48458.0,49700.0,51258.0,49183.0,50658.0,53150.0,54142.0,54267.0,54300.0
Goods Producing,9900.0,9792.0,10017.0,10317.0,11383.0,11733.0,11717.0,12292.0,12683.0,13075.0,12758.0,12675.0,13225.0,13200.0,12742.0,13043.0
"Mining, Logging and Construction",1575.0,1550.0,1608.0,1608.0,1733.0,2017.0,2450.0,2742.0,3008.0,3083.0,3058.0,3217.0,3325.0,3333.0,3358.0,3343.0
Manufacturing,8325.0,8242.0,8408.0,8708.0,9650.0,9717.0,9267.0,9550.0,9675.0,9992.0,9700.0,9458.0,9900.0,9867.0,9383.0,9700.0
Non-Durable Goods,7317.0,7333.0,7400.0,7450.0,8325.0,8392.0,7933.0,8150.0,8233.0,8533.0,8192.0,7867.0,8092.0,8025.0,7692.0,8000.0
Service-Providing,48258.0,48542.0,48875.0,49892.0,50500.0,51558.0,53092.0,54792.0,55950.0,57675.0,54817.0,56200.0,58625.0,60350.0,61292.0,62100.0
Private Service Providing,31558.0,32092.0,32450.0,33317.0,33408.0,33892.0,34642.0,36167.0,37017.0,38183.0,36425.0,37983.0,39925.0,40942.0,41525.0,41257.0
"Trade, Transportation, and Utilities",11125.0,11483.0,11733.0,11942.0,11875.0,12100.0,12367.0,13008.0,13525.0,13817.0,13433.0,13583.0,13750.0,13808.0,13767.0,13386.0
Wholesale Trade,1283.0,1342.0,1475.0,1442.0,1242.0,1258.0,1350.0,1517.0,1667.0,1725.0,1733.0,1858.0,1975.0,1933.0,1883.0,1900.0
Retail Trade,7183.0,7383.0,7417.0,7575.0,7808.0,8033.0,8117.0,8342.0,8367.0,8433.0,8233.0,8717.0,8825.0,8708.0,8542.0,8457.0
"Transportation, Warehousing, and Utilities",2658.0,2758.0,2842.0,2925.0,2825.0,2808.0,2900.0,3150.0,3492.0,3658.0,3467.0,3008.0,2950.0,3167.0,3342.0,3029.0
Information,625.0,442.0,400.0,400.0,400.0,317.0,300.0,300.0,300.0,300.0,225.0,242.0,300.0,300.0,300.0,300.0
Financial Activities,1600.0,1542.0,1550.0,1500.0,1567.0,1575.0,1817.0,1817.0,1842.0,1900.0,1833.0,1892.0,1892.0,1800.0,1792.0,1714.0
Professional and Business Services,4233.0,4425.0,4333.0,4317.0,3817.0,3700.0,3475.0,3750.0,3808.0,3933.0,3742.0,3808.0,3858.0,3633.0,3617.0,3514.0
Private Education and Health Services,8092.0,8183.0,8300.0,8775.0,9050.0,9408.0,9758.0,10242.0,10283.0,10558.0,10317.0,10558.0,11050.0,12008.0,12892.0,13471.0
Leisure and Hospitality,4517.0,4633.0,4742.0,5008.0,5367.0,5442.0,5533.0,5625.0,5783.0,6075.0,5333.0,6083.0,6900.0,7083.0,6867.0,6586.0
