TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,9166.0,8857.0,8463.0,8238.0,8098.0,7893.0,7934.0,7851.0,7895.0,7988.0,7709.0,7559.0,7452.0,7569.0,7817.0,7741.0
  Civilian Employment,7477.0,7297.0,7093.0,7088.0,7152.0,7079.0,7161.0,7152.0,7300.0,7370.0,6870.0,6848.0,6961.0,7037.0,7262.0,7120.0
  Civilian Unemployment,1687.0,1558.0,1371.0,1149.0,948.0,812.0,772.0,698.0,596.0,618.0,842.0,713.0,492.0,532.0,559.0,621.0
Total Wage and Salary,6545.0,6382.0,6188.0,6269.0,6381.0,6354.0,6432.0,6468.0,6660.0,6802.0,6418.0,6411.0,6548.0,6626.0,6878.0,6657.0
  Total Farm,52.0,58.0,38.0,31.0,31.0,31.0,34.0,41.0,41.0,42.0,59.0,58.0,57.0,54.0,58.0,67.0
  Total Nonfarm,6493.0,6324.0,6150.0,6238.0,6350.0,6323.0,6398.0,6428.0,6619.0,6760.0,6359.0,6352.0,6492.0,6572.0,6821.0,6590.0
    Total Private,3743.0,3588.0,3658.0,3834.0,3874.0,3808.0,3868.0,3932.0,4139.0,4227.0,3975.0,4024.0,4152.0,4184.0,4346.0,4161.0
    Goods Producing,742.0,791.0,826.0,810.0,799.0,810.0,837.0,836.0,890.0,891.0,917.0,901.0,928.0,933.0,968.0,1010.0
"      Mining, Logging and Construction",305.0,311.0,342.0,332.0,328.0,353.0,350.0,348.0,383.0,372.0,409.0,414.0,466.0,455.0,498.0,526.0
      Mining and Logging,37.0,38.0,31.0,38.0,31.0,34.0,36.0,40.0,48.0,44.0,52.0,65.0,70.0,70.0,76.0,66.0
      Construction,268.0,273.0,311.0,294.0,297.0,319.0,314.0,308.0,336.0,328.0,357.0,349.0,396.0,385.0,422.0,460.0
      Manufacturing,438.0,480.0,484.0,478.0,472.0,457.0,489.0,488.0,505.0,519.0,509.0,488.0,464.0,478.0,472.0,489.0
Service-Providing,5751.0,5533.0,5324.0,5428.0,5551.0,5513.0,5562.0,5592.0,5729.0,5870.0,5441.0,5452.0,5562.0,5639.0,5852.0,5583.0
    Private Service Providing,3001.0,2797.0,2832.0,3024.0,3075.0,2998.0,3030.0,3093.0,3250.0,3337.0,3056.0,3122.0,3223.0,3250.0,3376.0,3151.0
"      Trade, Transportation, and Utilities",920.0,847.0,874.0,910.0,892.0,902.0,905.0,913.0,948.0,937.0,958.0,941.0,965.0,973.0,949.0,907.0
        Wholesale Trade,42.0,35.0,49.0,57.0,61.0,62.0,58.0,48.0,51.0,55.0,60.0,63.0,57.0,61.0,63.0,60.0
        Retail Trade,591.0,550.0,532.0,532.0,522.0,543.0,557.0,573.0,598.0,601.0,610.0,588.0,615.0,616.0,606.0,607.0
"        Transportation, Warehousing, and Utilities",288.0,262.0,293.0,321.0,309.0,297.0,294.0,294.0,302.0,282.0,289.0,292.0,294.0,299.0,282.0,243.0
      Information,70.0,60.0,60.0,60.0,61.0,57.0,58.0,60.0,60.0,63.0,38.0,37.0,39.0,40.0,32.0,30.0
      Financial Activities,207.0,198.0,178.0,184.0,177.0,169.0,168.0,168.0,175.0,159.0,136.0,165.0,189.0,176.0,181.0,170.0
      Professional and Business Services,271.0,248.0,258.0,260.0,275.0,292.0,294.0,303.0,317.0,330.0,346.0,327.0,300.0,350.0,383.0,344.0
      Private Education and Health Services,617.0,598.0,616.0,752.0,784.0,655.0,615.0,615.0,619.0,635.0,619.0,639.0,626.0,599.0,671.0,613.0
      Leisure and Hospitality,778.0,709.0,714.0,717.0,736.0,769.0,829.0,822.0,908.0,959.0,728.0,763.0,842.0,832.0,869.0,797.0
      Other Services,138.0,137.0,132.0,142.0,151.0,154.0,166.0,215.0,226.0,259.0,235.0,256.0,268.0,288.0,297.0,294.0
      Government,2750.0,2737.0,2492.0,2404.0,2476.0,2515.0,2531.0,2497.0,2481.0,2534.0,2385.0,2328.0,2338.0,2388.0,2474.0,2431.0
        Federal Government,469.0,432.0,422.0,408.0,400.0,391.0,384.0,366.0,349.0,332.0,344.0,318.0,298.0,297.0,322.0,280.0
        Total State and Local Government,2281.0,2305.0,2069.0,1996.0,2076.0,2124.0,2145.0,2131.0,2132.0,2202.0,2045.0,2009.0,2043.0,2091.0,2155.0,2153.0
          State Government,127.0,125.0,108.0,100.0,97.0,96.0,106.0,98.0,98.0,97.0,98.0,95.0,90.0,82.0,81.0,83.0
          Local Government,2154.0,2180.0,1961.0,1896.0,1979.0,2028.0,2042.0,2032.0,2034.0,2105.0,1948.0,1915.0,1954.0,2008.0,2073.0,2069.0
               Special Districts plus Tribes,,,,,,,,,,,,,,,,917.0
Civilian Labor Force per mil,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
  Civilian Employment per mil,815732.0532402357,823868.1269052727,838118.8703769349,860403.010439427,883181.0323536677,896870.6448752058,902571.2125031509,910966.7558272831,924635.8454718177,922633.9509263895,891166.1694123752,905939.9391453896,934111.6478797639,929713.3042674065,929000.895484201,919777.8064849502
  Civilian Unemployment per mil,184049.74907265985,175906.06300101613,161999.29103154907,139475.60087399854,117065.94220795258,102875.96604586342,97302.74766826318,88905.87186345688,75490.81697276757,77366.04907361041,109222.98612011934,94324.64611721126,66022.54428341385,70286.69573259346,71510.80977357042,80222.19351504973
Total Wage and Salary per mil,714051.9310495309,720560.0090324038,731182.7956989248,760985.6761349842,787972.3388490985,805017.1037628278,810688.1774640786,823844.0962934658,843571.880937302,851527.2909364046,832533.4025165391,848128.0592670988,878690.284487386,875412.8682785043,879877.1907381349,859966.4126081902
  Total Farm per mil,5673.139864717434,6548.492717624477,4490.133522391587,3763.049283806749,3828.1057051123735,3927.5307234258203,4285.354171918326,5222.264679658642,5193.160227992401,5257.8868302453675,7653.392139058244,7672.972615425321,7648.953301127214,7134.36385255648,7419.726237687092,8655.212504844336
  Total Nonfarm per mil,708378.7911848134,714011.5163147792,726692.6621765331,757222.6268511774,784144.2331439862,801089.573039402,806402.8232921603,818749.2039230672,838378.7207093098,846269.4041061592,824880.0103774808,840322.794020373,871175.5233494363,868278.5044259479,872585.3908148906,851311.2001033458
    Total Private per mil,408356.971416103,405103.30811787286,432234.43223443226,465404.2243262928,478389.7258582366,482452.8062840492,487522.0569700025,500827.9200101898,524255.85813806206,529168.7531296946,515631.0805551952,532345.5483529568,557165.8615136876,552781.0807240058,555967.7625687603,537527.4512336907
