TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,78642.0,76758.0,75808.0,75100.0,74833.0,74150.0,76400.0,76158.0,75975.0,76325.0,76600.0,76258.0,76150.0,78033.0,79267.0,81129.0
Civilian Employment,65325.0,64508.0,65017.0,66142.0,67542.0,68367.0,71200.0,71833.0,72258.0,72808.0,70075.0,71192.0,72758.0,74258.0,75033.0,76614.0
Civilian Unemployment,13317.0,12250.0,10792.0,8958.0,7300.0,5783.0,5217.0,4342.0,3733.0,3517.0,6525.0,5050.0,3383.0,3792.0,4225.0,4529.0
"Total, All Industries",59158.0,58333.0,58775.0,60450.0,62125.0,63367.0,64817.0,65850.0,66867.0,68142.0,66583.0,67950.0,69692.0,71100.0,72208.0,73014.0
Total Farm,692.0,775.0,800.0,850.0,933.0,933.0,892.0,908.0,942.0,825.0,825.0,858.0,958.0,967.0,1025.0,1057.0
Total Nonfarm,58467.0,57558.0,57975.0,59600.0,61192.0,62433.0,63925.0,64942.0,65925.0,67317.0,65758.0,67092.0,68733.0,70133.0,71183.0,71957.0
Total Private,45658.0,44942.0,45500.0,47150.0,48550.0,49725.0,51092.0,51867.0,52633.0,53717.0,52550.0,53975.0,55333.0,56125.0,56492.0,56914.0
Goods Producing,4975.0,4958.0,4817.0,4942.0,5000.0,5250.0,5542.0,5783.0,6000.0,6333.0,6767.0,7050.0,7142.0,7158.0,7492.0,7529.0
"Mining, Logging and Construction",2708.0,2792.0,2700.0,2783.0,2775.0,2975.0,3133.0,3300.0,3483.0,3925.0,4358.0,4433.0,4367.0,4358.0,4533.0,4629.0
Manufacturing,2267.0,2167.0,2117.0,2158.0,2225.0,2275.0,2408.0,2483.0,2517.0,2408.0,2408.0,2617.0,2775.0,2800.0,2958.0,2900.0
Service-Providing,53492.0,52600.0,53158.0,54658.0,56192.0,57183.0,58383.0,59158.0,59925.0,60983.0,58992.0,60042.0,61592.0,62975.0,63692.0,64429.0
Private Service Providing,40683.0,39983.0,40683.0,42208.0,43550.0,44475.0,45550.0,46083.0,46633.0,47383.0,45783.0,46925.0,48192.0,48967.0,49000.0,49386.0
"Trade, Transportation, and Utilities",11925.0,11750.0,11767.0,11975.0,12225.0,12642.0,12842.0,12892.0,12808.0,12983.0,13025.0,13442.0,13475.0,13208.0,12983.0,12857.0
Wholesale Trade,1517.0,1467.0,1533.0,1575.0,1650.0,1800.0,1808.0,1842.0,1808.0,1967.0,1892.0,1825.0,1692.0,1600.0,1592.0,1600.0
Retail Trade,8675.0,8550.0,8533.0,8675.0,8817.0,9075.0,9250.0,9258.0,9108.0,9008.0,9075.0,9475.0,9567.0,9358.0,9042.0,8914.0
"Transportation, Warehousing, and Utilities",1733.0,1733.0,1700.0,1725.0,1758.0,1767.0,1783.0,1792.0,1892.0,2008.0,2058.0,2142.0,2217.0,2250.0,2350.0,2343.0
Information,642.0,617.0,600.0,650.0,700.0,700.0,700.0,650.0,550.0,500.0,500.0,500.0,508.0,500.0,500.0,500.0
Financial Activities,2483.0,2417.0,2417.0,2492.0,2575.0,2558.0,2583.0,2658.0,2708.0,2767.0,2783.0,2833.0,2908.0,2967.0,3075.0,3100.0
Professional and Business Services,4292.0,4175.0,4167.0,4408.0,4917.0,5183.0,5575.0,5667.0,6142.0,6117.0,5792.0,5783.0,6067.0,6150.0,6208.0,6243.0
Private Education and Health Services,12908.0,12792.0,12883.0,13767.0,14108.0,14392.0,14758.0,14950.0,15075.0,15475.0,15233.0,15142.0,15642.0,16417.0,16683.0,17357.0
Leisure and Hospitality,6117.0,5858.0,6325.0,6450.0,6642.0,6733.0,6775.0,6925.0,6892.0,7117.0,6183.0,6900.0,7183.0,7158.0,6867.0,6657.0
Accommodation and Food Services,5217.0,4900.0,5450.0,5625.0,5808.0,5825.0,5850.0,5992.0,5958.0,6133.0,5442.0,6033.0,6225.0,6183.0,5842.0,5686.0
Other Services,2317.0,2375.0,2525.0,2467.0,2383.0,2267.0,2317.0,2342.0,2458.0,2425.0,2267.0,2325.0,2408.0,2567.0,2683.0,2671.0
Government,12808.0,12617.0,12475.0,12450.0,12642.0,12708.0,12833.0,13075.0,13292.0,13600.0,13208.0,13117.0,13400.0,14008.0,14692.0,15043.0
Federal Government,1500.0,1383.0,1350.0,1292.0,1292.0,1308.0,1292.0,1292.0,1292.0,1283.0,1333.0,1292.0,1292.0,1358.0,1358.0,1329.0
State & Local Government,11308.0,11233.0,11125.0,11158.0,11350.0,11400.0,11542.0,11783.0,12000.0,12317.0,11875.0,11825.0,12108.0,12650.0,13333.0,13714.0
State Government,1733.0,1733.0,1708.0,1742.0,1842.0,1908.0,1892.0,1883.0,1958.0,1958.0,1967.0,1967.0,2008.0,2083.0,2217.0,2243.0
Local Government,9575.0,9500.0,9417.0,9417.0,9508.0,9492.0,9650.0,9900.0,10042.0,10358.0,9908.0,9858.0,10100.0,10567.0,11117.0,11471.0
Local Government Educational Services,5258.0,5250.0,5200.0,5133.0,5075.0,5067.0,5150.0,5417.0,5475.0,5775.0,5408.0,5308.0,5500.0,5900.0,6275.0,6571.0
Local Government excluding Educational Services,4317.0,4250.0,4217.0,4283.0,4433.0,4425.0,4500.0,4483.0,4567.0,4583.0,4500.0,4550.0,4600.0,4667.0,4842.0,4900.0
Special Districts plus Tribes,1008.0,1008.0,1033.0,1067.0,1183.0,1200.0,1200.0,1200.0,1275.0,1300.0,1267.0,1300.0,1300.0,1342.0,1458.0,1529.0
