TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,202575.0,201442.0,202092.0,202525.0,202608.0,204967.0,214017.0,214783.0,215858.0,215442.0,209892.0,208175.0,209675.0,213983.0,216350.0,217743.0
  Civilian Employment,176933.0,176908.0,180392.0,183967.0,187175.0,192342.0,202500.0,204750.0,207550.0,207450.0,190192.0,193175.0,201017.0,204575.0,205575.0,206286.0
  Civilian Unemployment,25658.0,24517.0,21692.0,18550.0,15442.0,12608.0,11525.0,10042.0,8308.0,8017.0,19692.0,15008.0,8658.0,9392.0,10783.0,11457.0
Total Wage and Salary,119883.0,119400.0,121508.0,125033.0,128067.0,132467.0,136275.0,138567.0,141967.0,143425.0,132833.0,135492.0,141542.0,144142.0,145717.0,144714.0
  Total Farm,1392.0,1408.0,1492.0,1667.0,1792.0,1775.0,1767.0,1717.0,1667.0,1467.0,1508.0,1583.0,1642.0,1483.0,1442.0,1343.0
Total Nonfarm,118492.0,117992.0,120017.0,123367.0,126275.0,130692.0,134508.0,136850.0,140300.0,141958.0,131325.0,133908.0,139900.0,142658.0,144275.0,143371.0
    Total Private,93608.0,93708.0,95917.0,99400.0,101850.0,105917.0,109358.0,111817.0,115425.0,117200.0,107900.0,110967.0,116508.0,118842.0,119808.0,119143.0
    Goods Producing,16058.0,16592.0,17142.0,17783.0,18250.0,19458.0,20892.0,21483.0,22700.0,23883.0,22417.0,22792.0,23658.0,23275.0,22675.0,21871.0
"      Mining, Logging and Construction",7550.0,8175.0,8475.0,9000.0,8808.0,9417.0,10767.0,10908.0,11800.0,12775.0,11517.0,11883.0,12433.0,12042.0,11317.0,10900.0
      Mining and Logging,342.0,392.0,400.0,400.0,458.0,450.0,475.0,475.0,567.0,500.0,408.0,308.0,325.0,292.0,200.0,200.0
      Construction,7208.0,7783.0,8075.0,8600.0,8350.0,8967.0,10292.0,10433.0,11233.0,12275.0,11108.0,11575.0,12108.0,11750.0,11117.0,10700.0
      Manufacturing,8508.0,8417.0,8667.0,8783.0,9442.0,10042.0,10125.0,10575.0,10900.0,11108.0,10900.0,10908.0,11225.0,11233.0,11358.0,10971.0
          Non-Durable Goods,5108.0,5042.0,5017.0,5000.0,5617.0,6008.0,6133.0,6367.0,6125.0,6117.0,6192.0,6442.0,6642.0,6575.0,6392.0,6129.0
Service-Providing,102433.0,101400.0,102875.0,105583.0,108025.0,111233.0,113617.0,115367.0,117600.0,118075.0,108908.0,111117.0,116242.0,119383.0,121600.0,121500.0
    Private Service Providing,77550.0,77117.0,78775.0,81617.0,83600.0,86458.0,88467.0,90333.0,92725.0,93317.0,85483.0,88175.0,92850.0,95567.0,97133.0,97271.0
"      Trade, Transportation, and Utilities",24667.0,24208.0,24750.0,24925.0,25842.0,26992.0,27200.0,27400.0,27833.0,27008.0,25750.0,26750.0,27642.0,28067.0,28525.0,28229.0
        Wholesale Trade,4125.0,4033.0,4200.0,4183.0,4342.0,4367.0,4142.0,4292.0,4425.0,4383.0,4108.0,3992.0,4108.0,4150.0,4108.0,4100.0
        Retail Trade,16392.0,16500.0,16942.0,17208.0,17492.0,18350.0,18592.0,18650.0,18650.0,17817.0,16700.0,17450.0,17575.0,17517.0,17333.0,17100.0
          Food and Beverage Retailers,2958.0,2900.0,2975.0,3217.0,3350.0,3400.0,3375.0,3300.0,3292.0,3308.0,3458.0,3608.0,3617.0,3617.0,3700.0,3700.0
          General Merchandise Retailers,3767.0,3817.0,3800.0,3567.0,3300.0,3717.0,3800.0,3750.0,3817.0,3750.0,3650.0,3908.0,3992.0,3975.0,3900.0,3800.0
"          Clothing, Clothing Accessories, Shoe, and Jewelry",2433.0,2300.0,2400.0,2417.0,2392.0,2408.0,2325.0,2242.0,2108.0,1950.0,1367.0,1542.0,1550.0,1592.0,1525.0,1514.0
"        Transportation, Warehousing, and Utilities",4150.0,3675.0,3608.0,3533.0,4008.0,4275.0,4467.0,4458.0,4758.0,4808.0,4942.0,5308.0,5958.0,6400.0,7083.0,7029.0
      Information,1283.0,1125.0,1125.0,1125.0,1100.0,1108.0,1058.0,1092.0,1133.0,1150.0,833.0,842.0,900.0,892.0,925.0,900.0
      Financial Activities,5217.0,5108.0,5042.0,5067.0,4833.0,4925.0,5108.0,5108.0,5200.0,5133.0,4950.0,4842.0,4750.0,4683.0,4808.0,4714.0
        Finance and Insurance,3808.0,3800.0,3725.0,3667.0,3483.0,3525.0,3567.0,3558.0,3575.0,3425.0,3350.0,3167.0,3000.0,2817.0,2875.0,2900.0
      Professional and Business Services,9000.0,8958.0,9042.0,9500.0,9558.0,9483.0,9242.0,9533.0,10117.0,10183.0,9650.0,10383.0,10883.0,11083.0,11067.0,10829.0
        Administrative and Support and Waste Management and,4625.0,4658.0,4775.0,4983.0,4725.0,4850.0,4792.0,4825.0,5358.0,5592.0,5225.0,5450.0,5750.0,6208.0,6350.0,6286.0
          Administrative and Support Services,4075.0,3975.0,4067.0,4292.0,4025.0,4133.0,3975.0,4025.0,4492.0,4725.0,4442.0,4675.0,4875.0,5183.0,5225.0,5114.0
      Private Education and Health Services,20775.0,20925.0,21575.0,23283.0,23983.0,25083.0,26583.0,27667.0,28367.0,29000.0,27933.0,27600.0,28517.0,29917.0,31242.0,32157.0
        Health Care and Social Assistance,19275.0,19450.0,20150.0,21792.0,22450.0,23542.0,24842.0,25767.0,26367.0,26917.0,26092.0,25783.0,26617.0,27933.0,29133.0,29700.0
      Leisure and Hospitality,13025.0,13150.0,13358.0,13742.0,14283.0,14750.0,15133.0,15217.0,15625.0,16125.0,12325.0,13575.0,15492.0,16025.0,15625.0,15529.0
        Accommodation and Food Services,10775.0,10642.0,10783.0,11308.0,11642.0,12025.0,12350.0,12450.0,12883.0,13392.0,11008.0,11925.0,13258.0,13633.0,13242.0,13086.0
          Food Services and Drinking Places,10050.0,9867.0,10008.0,10517.0,10825.0,11200.0,11533.0,11733.0,12142.0,12542.0,10408.0,11308.0,12508.0,12833.0,12383.0,11957.0
Restaurants and Other Eating Places,9475.0,9408.0,9567.0,10058.0,10417.0,10767.0,11133.0,11342.0,11683.0,12058.0,10100.0,10975.0,12083.0,12458.0,12050.0,11586.0
      Other Services,3583.0,3642.0,3883.0,3975.0,4000.0,4117.0,4142.0,4317.0,4450.0,4717.0,4042.0,4183.0,4667.0,4900.0,4942.0,4914.0
